#### Simulations (1)
# delay_avg #1
0.0,0.0
500.0,0.0
500.0,14390.0
1003.3450815477408,14390.0
1003.3450815477408,14315.0
1503.3450815477408,14315.0
1503.3450815477408,13680.0
2003.3450815477408,13680.0
2003.3450815477408,13807.5
2503.345081547741,13807.5
2503.345081547741,13858.0
3007.906078954693,13858.0
3007.906078954693,13940.0
3507.906078954693,13940.0
3507.906078954693,13764.285714285714
4007.906078954693,13764.285714285714
4007.906078954693,13548.75
4510.637869864004,13548.75
4510.637869864004,13530.0
5000.0,13530.0
